"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 21 10 170 40 172 1 9 48 110 29
"2" 196 124 16 207 50 238 1 26 213 174
"3" 1 88 61 62 250 19 206 249 181 1
"4" 1 93 1 1 92 202 149 223 1 252
"5" 1 41 94 191 237 1 199 23 251 126
"6" 182 1 107 244 63 74 219 3 153 169
"7" 43 113 46 1 118 1 85 260 166 130
"8" 1 157 1 136 258 246 192 1 186 133
"9" 36 1 198 102 146 269 11 25 100 1
"10" 75 106 183 89 134 28 222 1 225 49
"11" 193 159 243 226 129 86 99 233 47 194
"12" 72 229 1 17 1 185 22 210 179 56
"13" 190 228 1 37 141 114 70 1 143 175
"14" 68 1 1 90 208 120 236 1 1 66
"15" 180 1 32 111 1 142 44 65 221 27
"16" 1 91 1 123 1 176 103 83 101 127
"17" 197 235 31 189 82 1 140 1 81 263
"18" 1 164 128 167 224 60 79 38 1 139
"19" 151 268 1 1 122 121 116 227 55 108
"20" 18 59 109 1 155 1 168 212 1 259
"21" 115 165 203 240 39 125 254 257 78 1
"22" 171 73 150 138 96 234 256 204 30 132
"23" 2 57 52 54 5 188 117 217 24 119
"24" 148 1 163 220 247 1 42 242 231 105
"25" 1 35 7 230 14 261 201 253 53 87
"26" 112 51 270 162 13 265 154 161 131 178
"27" 267 216 137 1 173 209 15 158 69 218
